Entrance_Latitude,Entrance_Longitude,entrance_georeference
40.683905,-73.978879,POINT (-73.978879 40.683905)
40.683805,-73.978487,POINT (-73.978487 40.683805)
40.683928,-73.978412,POINT (-73.978412 40.683928)
40.6771544,-73.9834296,POINT (-73.9834296 40.6771544)
40.6772958,-73.9833364,POINT (-73.9833364 40.6772958)
40.677001,-73.983133,POINT (-73.983133 40.677001)
40.677171,-73.98302,POINT (-73.98302 40.677171)
40.670538,-73.988778,POINT (-73.988778 40.670538)
40.6704052,-73.9884866,POINT (-73.9884866 40.6704052)
40.6652787,-73.9932544,POINT (-73.9932544 40.6652787)
40.6650684,-73.9930473,POINT (-73.9930473 40.6650684)
40.665299,-73.992729,POINT (-73.992729 40.665299)
40.6605007,-73.998224,POINT (-73.998224 40.6605007)
40.660323,-73.997952,POINT (-73.997952 40.660323)
40.65449,-74.004499,POINT (-74.004499 40.65449)
40.6546909,-74.0043071,POINT (-74.0043071 40.6546909)
40.654365,-74.004113,POINT (-74.004113 40.654365)
40.6494326,-74.0097327,POINT (-74.0097327 40.6494326)
40.6495617,-74.0096026,POINT (-74.0096026 40.6495617)
40.6492747,-74.009461,POINT (-74.009461 40.6492747)
40.6494028,-74.0093232,POINT (-74.0093232 40.6494028)
40.6446672,-74.014688,POINT (-74.014688 40.6446672)
40.6447641,-74.0145927,POINT (-74.0145927 40.6447641)
40.6445032,-74.0144244,POINT (-74.0144244 40.6445032)
40.644601,-74.014309,POINT (-74.014309 40.644601)
40.6456266,-74.01369,POINT (-74.01369 40.6456266)
40.6406896,-74.0188637,POINT (-74.0188637 40.6406896)
40.640491,-74.0185665,POINT (-74.0185665 40.640491)
40.6416248,-74.0178508,POINT (-74.0178508 40.6416248)
40.6417413,-74.0177502,POINT (-74.0177502 40.6417413)
40.6414668,-74.0175533,POINT (-74.0175533 40.6414668)
40.6415691,-74.017435,POINT (-74.017435 40.6415691)
40.634827,-74.02358,POINT (-74.02358 40.634827)
40.634768,-74.023339,POINT (-74.023339 40.634768)
40.635484,-74.0233079,POINT (-74.0233079 40.635484)
40.6295183,-74.025749,POINT (-74.025749 40.6295183)
40.6294674,-74.0255076,POINT (-74.0255076 40.6294674)
40.6226535,-74.0285564,POINT (-74.0285564 40.6226535)
40.622583,-74.028315,POINT (-74.028315 40.622583)
40.623498,-74.028204,POINT (-74.028204 40.623498)
40.6302302,-74.0254577,POINT (-74.0254577 40.6302302)
40.6225859,-74.0283617,POINT (-74.0283617 40.6225859)
40.6224943,-74.0286163,POINT (-74.0286163 40.6224943)
40.616021,-74.031383,POINT (-74.031383 40.616021)
40.6162027,-74.031236,POINT (-74.031236 40.6162027)
40.6159342,-74.0308333,POINT (-74.0308333 40.6159342)
40.617604,-74.0306828,POINT (-74.0306828 40.617604)
40.6173787,-74.0304053,POINT (-74.0304053 40.6173787)
40.7541656,-73.9425499,POINT (-73.9425499 40.7541656)
40.7543246,-73.9423416,POINT (-73.9423416 40.7543246)
40.7540129,-73.9422248,POINT (-73.9422248 40.7540129)
40.754262,-73.9419961,POINT (-73.9419961 40.754262)
40.7590185,-73.9534576,POINT (-73.9534576 40.7590185)
40.7649678,-73.9666793,POINT (-73.9666793 40.7649678)
40.7647383,-73.9665531,POINT (-73.9665531 40.7647383)
40.764896,-73.966426,POINT (-73.966426 40.764896)
40.7641013,-73.9650414,POINT (-73.9650414 40.7641013)
